load,strain
65.6,3.32
65.8,3.32
65.8,3.33
65.8,3.33
66,3.33
66,3.33
66.1,3.33
66.1,3.34
66.2,3.34
66.2,3.34
66.2,3.34
66.3,3.34
66.4,3.35
66.5,3.35
66.7,3.35
66.8,3.35
66.9,3.35
67,3.36
67,3.36
67.1,3.36
67.2,3.36
67.3,3.36
67.3,3.36
67.3,3.36
67.5,3.37
67.5,3.37
67.6,3.37
67.8,3.38
67.8,3.38
67.9,3.38
68,3.38
68.1,3.38
68.1,3.38
68.3,3.39
68.3,3.39
68.4,3.39
68.5,3.39
68.6,3.39
68.8,3.4
68.8,3.4
69,3.4
69,3.4
69,3.4
69.2,3.4
69.2,3.41
69.3,3.41
69.3,3.41
69.3,3.41
69.4,3.42
69.6,3.42
69.6,3.42
69.7,3.42
69.8,3.42
69.7,3.42
69.9,3.42
70,3.42
70,3.43
70.1,3.43
70.2,3.43
70.2,3.43
70.3,3.44
70.3,3.44
70.5,3.44
70.5,3.44
70.7,3.44
70.8,3.44
70.8,3.44
71,3.45
71,3.45
71,3.45
71.1,3.45
71.2,3.45
71.2,3.46
71.3,3.46
71.5,3.46
71.5,3.46
71.5,3.46
71.6,3.47
71.6,3.47
71.7,3.47
71.7,3.47
71.8,3.47
71.8,3.47
71.8,3.47
72,3.48
72.1,3.48
72.1,3.48
72.3,3.48
72.3,3.48
72.4,3.49
72.5,3.49
72.5,3.49
72.6,3.49
72.6,3.49
72.7,3.49
72.8,3.49
72.8,3.5
72.9,3.5
72.9,3.5
73.1,3.5
73.2,3.5
73.2,3.51
73.3,3.51
73.4,3.51
73.5,3.51
73.5,3.52
73.6,3.52
73.6,3.52
73.6,3.52
73.7,3.52
73.8,3.52
73.9,3.52
74,3.52
74.2,3.53
74.2,3.53
74.2,3.53
74.2,3.53
74.3,3.53
74.4,3.54
74.5,3.54
74.5,3.54
74.6,3.54
74.6,3.54
74.7,3.54
74.8,3.54
74.9,3.54
75,3.55
75.1,3.55
75.1,3.55
75.2,3.55
75.2,3.55
75.3,3.56
75.3,3.56
75.4,3.56
75.5,3.56
75.6,3.56
75.7,3.56
75.8,3.56
75.9,3.56
76,3.57
76,3.57
76.1,3.57
76.1,3.57
76.2,3.57
76.3,3.58
76.4,3.58
76.5,3.58
76.5,3.58
76.6,3.58
76.6,3.58
76.7,3.58
76.8,3.58
76.8,3.59
76.9,3.59
77,3.59
77,3.59
77.1,3.59
77.2,3.6
77.2,3.6
77.4,3.6
77.5,3.6
77.5,3.6
77.7,3.61
77.8,3.61
77.8,3.61
77.9,3.61
78,3.61
78,3.61
78.2,3.61
78.2,3.61
78.3,3.62
78.3,3.62
78.4,3.62
78.5,3.62
78.6,3.62
78.7,3.62
78.7,3.63
78.8,3.63
78.9,3.63
79,3.63
79.1,3.63
79.2,3.63
79.2,3.63
79.3,3.63
79.3,3.63
79.4,3.64
79.5,3.64
79.6,3.64
79.7,3.64
79.8,3.64
79.9,3.64
79.9,3.65
79.9,3.65
80,3.65
80.1,3.65
80.2,3.65
80.2,3.65
80.3,3.65
80.4,3.65
