strain,load
7.144,12.9
7.148,13
7.152,13
7.157,13.2
7.157,13.3
7.161,13.5
7.165,13.7
7.169,13.9
7.173,13.9
7.177,14.1
7.181,14.2
7.185,14.2
7.189,14.4
7.189,14.6
7.197,14.8
7.197,14.9
7.202,15.2
7.206,15.2
7.21,15.4
7.214,15.5
7.218,15.7
7.222,15.9
7.226,16
7.23,16.1
7.234,16.2
7.238,16.3
7.242,16.5
7.247,16.6
7.251,16.8
7.255,17
7.255,17.1
7.259,17.4
7.263,17.5
7.267,17.6
7.271,17.8
7.275,18
7.279,18.2
7.283,18.3
7.283,18.5
7.287,18.6
7.292,18.7
7.296,18.9
7.3,19
7.304,19.3
7.304,19.3
7.308,19.5
7.312,19.7
7.316,19.9
7.316,20
7.32,20.2
7.324,20.4
7.328,20.5
7.332,20.6
7.332,20.9
7.337,20.9
7.341,21
7.345,21.2
7.349,21.5
7.353,21.6
7.357,21.8
7.361,21.9
7.361,22.1
7.365,22.2
7.369,22.4
7.373,22.6
7.378,22.8
7.382,22.9
7.386,23.1
7.386,23.3
7.39,23.5
7.394,23.6
7.398,23.7
7.402,24
7.406,24
7.406,24.2
7.41,24.4
7.414,24.6
7.418,24.8
7.423,25
7.427,25.2
7.431,25.4
7.435,25.4
7.435,25.7
7.439,25.9
7.443,26.1
7.447,26.2
7.451,26.3
7.451,26.5
7.455,26.6
7.459,26.8
7.463,27
7.468,27.1
7.468,27.3
7.472,27.5
7.476,27.8
7.476,27.9
7.48,28
7.484,28.2
7.488,28.3
7.488,28.4
7.492,28.6
7.496,28.7
7.496,28.9
7.5,29
7.504,29.3
7.508,29.5
7.508,29.6
7.513,29.8
7.517,30
7.521,30.3
7.521,30.4
7.525,30.5
7.529,30.6
7.529,30.8
7.533,30.9
7.537,31.1
7.541,31.2
7.541,31.4
7.545,31.6
7.545,31.8
7.549,31.9
7.553,32.1
7.558,32.2
7.558,32.4
7.562,32.5
7.566,32.7
7.566,32.8
7.57,33.1
7.574,33.2
7.578,33.4
7.578,33.6
7.582,33.8
7.582,33.9
7.586,34.1
7.59,34.2
7.59,34.3
7.594,34.4
7.598,34.7
7.598,34.9
7.603,35
7.607,35.1
7.607,35.3
7.611,35.4
7.611,35.6
7.615,35.7
7.619,35.9
7.623,36
7.623,36.2
7.627,36.4
7.631,36.6
7.631,36.7
7.635,36.9
7.635,37
7.639,37.2
7.643,37.3
7.643,37.4
7.648,37.7
7.648,37.7
7.652,37.9
7.656,38.1
