load,strain
40.6,7.697
40.7,7.697
41,7.701
41,7.701
41.2,7.705
41.4,7.709
41.5,7.713
41.6,7.713
41.7,7.717
41.8,7.721
41.9,7.721
42.1,7.725
42.2,7.725
42.3,7.729
42.6,7.733
42.7,7.733
42.8,7.738
43,7.742
43.1,7.742
43.2,7.746
43.4,7.746
43.5,7.75
43.6,7.754
43.7,7.754
43.9,7.758
44.1,7.762
44.1,7.762
44.3,7.766
44.5,7.77
44.6,7.77
44.7,7.774
44.9,7.774
45,7.779
45.1,7.783
45.3,7.783
45.3,7.787
45.4,7.791
45.5,7.791
45.7,7.795
45.8,7.795
45.9,7.799
46.2,7.803
46.2,7.803
46.4,7.807
46.5,7.811
46.7,7.811
46.8,7.815
47,7.819
47,7.819
47.3,7.824
47.4,7.828
47.4,7.828
47.5,7.832
47.6,7.832
47.7,7.836
47.8,7.84
48,7.84
48.1,7.844
48.3,7.844
48.4,7.848
48.5,7.852
48.7,7.852
48.8,7.856
49,7.856
49,7.86
49.2,7.864
49.3,7.864
49.3,7.869
49.6,7.873
49.7,7.873
49.7,7.877
49.9,7.877
49.9,7.881
50,7.885
50.1,7.885
50.3,7.889
50.5,7.889
50.6,7.893
50.7,7.897
50.9,7.897
50.9,7.901
51,7.901
51.3,7.905
51.3,7.909
51.4,7.909
51.5,7.914
51.6,7.918
51.7,7.918
51.9,7.922
51.9,7.922
52.1,7.926
52.2,7.93
52.3,7.934
52.4,7.938
52.4,7.938
52.6,7.942
52.6,7.946
52.7,7.946
52.8,7.95
52.9,7.954
53,7.954
53.1,7.959
53.2,7.963
53.4,7.963
53.5,7.967
53.6,7.967
53.7,7.971
53.8,7.975
53.9,7.975
54,7.979
54.2,7.983
54.4,7.987
54.4,7.987
54.7,7.991
54.8,7.991
54.8,7.995
54.9,7.999
55,7.999
55,8.004
55.1,8.008
55.3,8.008
55.3,8.012
55.5,8.016
55.6,8.016
55.7,8.02
55.8,8.02
55.9,8.024
56.1,8.028
56.2,8.028
56.3,8.032
56.4,8.036
56.5,8.036
56.6,8.04
56.6,8.04
56.7,8.044
56.8,8.049
56.9,8.049
57,8.053
57.1,8.057
57.3,8.057
57.4,8.061
57.5,8.061
57.5,8.065
57.6,8.069
57.8,8.069
57.9,8.073
58.1,8.077
58.1,8.077
58.1,8.081
58.3,8.081
58.3,8.085
58.4,8.089
58.5,8.089
58.6,8.094
58.8,8.098
59,8.098
59,8.102
59.1,8.102
59.2,8.106
59.3,8.11
59.4,8.11
59.5,8.114
59.7,8.118
59.7,8.118
59.9,8.122
60,8.122
60.1,8.126
60.1,8.13
60.2,8.13
60.3,8.134
60.4,8.134
60.5,8.139
60.6,8.143
60.7,8.143
60.8,8.147
60.8,8.151
61,8.155
61,8.155
61.1,8.159
61.2,8.163
61.3,8.163
61.4,8.167
61.5,8.167
61.6,8.171
61.7,8.175
61.7,8.175
61.9,8.18
61.9,8.184
62,8.184
62.1,8.188
62.2,8.188
62.2,8.192
62.3,8.196
62.5,8.196
62.5,8.2
62.7,8.2
62.9,8.204
62.9,8.208
63,8.208
63.1,8.212
63.2,8.216
63.3,8.216
63.4,8.216
63.4,8.22
63.4,8.225
63.6,8.225
63.7,8.229
63.7,8.229
63.9,8.233
64,8.237
64.1,8.237
64.2,8.241
64.3,8.241
64.3,8.245
64.4,8.249
64.5,8.249
64.6,8.253
64.7,8.253
64.8,8.257
64.9,8.257
64.9,8.261
65.1,8.265
65.2,8.265
65.2,8.27
65.3,8.274
65.5,8.274
65.4,8.278
65.5,8.278
65.7,8.282
