strain,youngs_modulus
0.0031400000000000004,0.0
0.0031600000000000005,1.9999999999999964e-09
0.0031600000000000005,
0.00318,2.00000000000004e-09
0.0032,0.0
0.0032,
0.0032,
0.0032400000000000007,9.999999999999823e-10
0.0032400000000000007,
0.0033,1.3333333333333535e-09
0.00332,0.0
0.00334,3.999999999999983e-09
0.00334,
0.0033799999999999998,2.000000000000018e-09
0.0033799999999999998,
0.0034200000000000003,1.9999999999999646e-09
0.0034200000000000003,
0.00346,2.000000000000018e-09
0.00346,
0.0034799999999999996,2.0000000000000498e-09
0.0034799999999999996,
0.0035000000000000005,3.999999999999819e-09
0.0035000000000000005,
0.00356,1.3333333333333569e-09
0.00358,1.9999999999999662e-09
0.00358,
0.0036000000000000003,1.999999999999943e-09
0.00364,2.000000000000018e-09
0.00364,
0.00368,2.9999999999999896e-09
0.00368,
0.00372,2.9999999999999793e-09
0.0037400000000000003,2.0000000000000063e-09
0.00378,3.000000000000022e-09
0.0038,2.0000000000000063e-09
0.0038599999999999997,2.0000000000000076e-09
0.0038599999999999997,
0.00392,1.999999999999993e-09
0.00392,
0.00396,2.9999999999999896e-09
0.00396,
0.004019999999999999,2.0000000000000287e-09
0.004019999999999999,
0.004059999999999999,3.999999999999983e-09
0.00408,0.0
0.00418,1.600000000000011e-09
0.00418,
0.00424,1.999999999999986e-09
0.00426,3.999999999999972e-09
0.004280000000000001,7.999999999999638e-09
0.004280000000000001,
0.00432,3.0000000000000645e-09
0.00432,
0.00434,5.999999999999999e-09
0.00434,
0.00436,5.999999999999959e-09
0.00438,1.999999999999986e-09
0.0044,9.999999999999972e-09
0.0044199999999999995,4.000000000000186e-09
0.00446,4.999999999999878e-09
0.00446,
0.0045,5.000000000000074e-09
0.00452,4.000000000000013e-09
0.004540000000000001,9.999999999999539e-09
0.00456,2.0000000000001134e-09
0.00458,7.999999999999944e-09
0.0046,5.999999999999999e-09
0.00464,5.999999999999979e-09
0.00464,
0.004679999999999999,4.00000000000008e-09
0.004679999999999999,
0.00472,7.999999999999832e-09
0.00472,
0.00478,5.33333333333331e-09
0.00478,
0.00482,7.000000000000124e-09
0.00482,
0.00488,5.999999999999972e-09
0.00488,
0.00492,9.999999999999972e-09
0.00492,
0.00496,8.999999999999958e-09
0.00496,
0.005,7.999999999999986e-09
0.005019999999999999,4.000000000000146e-09
0.00506,8.999999999999803e-09
0.00506,
0.00512,7.999999999999999e-09
0.00512,
0.00518,7.33333333333343e-09
0.00518,
0.00524,7.999999999999972e-09
0.00524,
0.00532,6.999999999999972e-09
0.00532,
0.00538,9.333333333333296e-09
0.00538,
0.00544,9.999999999999999e-09
0.00544,
0.0055,9.33333333333343e-09
0.00552,4.000000000000053e-09
0.00558,1.1333333333333296e-08
0.005599999999999999,4.000000000000227e-09
0.00566,1.066666666666644e-08
0.00566,
0.00572,1.1999999999999998e-08
0.00574,1.999999999999865e-09
0.0058,1.3333333333333487e-08
0.0058,
0.005860000000000001,1.3333333333333102e-08
0.005860000000000001,
0.00594,1.000000000000008e-08
0.00594,
0.006019999999999999,1.1500000000000116e-08
0.00604,3.9999999999998795e-09
0.0060999999999999995,1.533333333333349e-08
0.0060999999999999995,
0.0061600000000000005,1.5333333333333047e-08
0.0061600000000000005,
0.006240000000000001,1.3499999999999977e-08
0.006240000000000001,
0.006320000000000001,1.3999999999999985e-08
0.006320000000000001,
0.0064,1.4500000000000108e-08
0.0064,
0.0064600000000000005,1.9333333333333268e-08
0.0064600000000000005,
0.00654,1.6500000000000115e-08
0.00654,
0.006619999999999999,1.700000000000013e-08
0.006619999999999999,
0.006719999999999999,1.4399999999999934e-08
0.006719999999999999,
0.0068000000000000005,1.8999999999999806e-08
0.0068000000000000005,
0.006900000000000001,1.5999999999999955e-08
0.006900000000000001,
0.00702,1.4000000000000072e-08
0.00702,
0.00712,1.7600000000000065e-08
0.007139999999999999,0.0
0.00726,1.5333333333333213e-08
0.00726,
0.00738,1.5999999999999945e-08
0.00738,
0.0074800000000000005,2.0399999999999948e-08
0.0074800000000000005,
0.0076,1.766666666666676e-08
0.0076,
0.007719999999999999,1.8333333333333388e-08
0.007719999999999999,
0.00786,1.657142857142841e-08
0.00786,
0.00802,1.5500000000000132e-08
0.00802,
0.00818,1.6250000000000013e-08
0.00818,
0.00832,1.9428571428571438e-08
0.00834,0.0
0.00852,1.6000000000000074e-08
0.00852,
0.00866,2.1142857142857186e-08
0.00866,
0.0088,2.257142857142841e-08
0.0088,
0.008839999999999999,1.5000000000000366e-08
0.008839999999999999,
0.008839999999999999,
0.00892,-3.999999999999918e-08
0.00892,
0.008960000000000001,-7.799999999999975e-08
0.008960000000000001,
0.00902,-4.933333333333395e-08
0.00902,
0.00904,-1.4000000000000567e-07
0.00904,
0.00906,-1.2399999999999402e-07
0.00906,
0.009080000000000001,-1.2199999999999408e-07
0.009080000000000001,
0.0091,-1.1800000000000475e-07
0.0091,
0.00914,-5.899999999999998e-08
0.00914,
0.00914,
0.00914,
0.00916,-1.0600000000000439e-07
0.009179999999999999,-1.0000000000000243e-08
0.009179999999999999,
0.009179999999999999,
0.00922,-4.4999999999998e-08
0.00922,
0.00924,-9.000000000000348e-08
0.00924,
0.009539999999999998,5.7333333333333516e-09
0.009539999999999998,
0.0098,-1.5384615384615538e-09
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
0.0098,
